,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helminthotheca echioides,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from October to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Lactuca inermis,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Laggera pterodonata,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from November to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Microglossa pyrifolia,Yes,Perennial scrambling shrub,Yes (Abundant),Yes (Abundant),Flowering from October to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Launaea cornuta,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from October to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Mikaniopsis clematoides,Yes,Perrennial herb,Yes (Abundant),Yes (Abundant),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Plectocephalus varians,Yes,Perennial erect herb,Yes (Abundant),Yes (Poor),Flowering from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio deltoides,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Long flowering season,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio hadiensis,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio schultzii,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from November to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio fresenii,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from December to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio Iyratus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio myriocephalum,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio steudelii,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering  from April to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio ochrocarpus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from August to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Solanecio angelatus,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Solanecio gigas,Yes,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Sonchus asper,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Sonchus bipontini,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from August to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Tagetes minuta,No,Annual herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Sphaeranthus suaveolens,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from September to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Tagetes patula,No,Annual herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Tridax procumbens,No,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia auriculifera,Yes,Perennial shrub or small tree,Yes (Abundant),Yes (Abundant),Flowering from November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia adoensis,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from September to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia brachycalyx,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from September to July,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia biafrae,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from January to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia ambigua,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia ituriensis,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from December up to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia rueppellii,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia leopoldii,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia schimperi,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia theophrastifolia,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia cinerea,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from June to Dec,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia urticaria,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from October up to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia thomsoniana,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from January to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Xanthium spinosum,No,Annual herb,Yes (Abundant),Yes (Abundant),Flowering from November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia amygdalina,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from December to May but main flowering is from January to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Guizotia scabra,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Guizotia abyssinica,Yes,Annual herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Brachylaena discolor,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from May to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Brachylaena neriifolia,Yes,Perennial tree,Yes (Medium),Yes (Medium),Flowering from December to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Brachylaena rotundata,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Dahlia imperialis,Yes,Perrenial woody shrub ,Yes (Abundant),Yes (Medium),Flowering from March to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helianthus tuberosus,No,Perennial woody shrub,Yes (Abundant),Yes (Medium),Flowering from January to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Montanoa hibiscifolia,No,Shrub-like perennial,Yes (Abundant),Yes (Medium),Flowering from April to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Tarchonanthus camphoratus,Yes,Perennial shrub or small tree,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia aurantiaca,Yes,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from April to August,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia colorata,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from March to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Vernonia myriantha,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from April to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Aster novi-belgii,No,Perennial shrub ,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya carduiodes,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya carlinifolia,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya carlinopsis,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya fruticosa,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya glabrata,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya heterophylla,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya latifolia,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Berkheya radula,Yes,Thistle-like perennial herbs,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Callilepis leptophylla,Yes,Perennial herb,Yes (Medium),Yes (Poor),Flowering from October to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Conyza podocephala,Yes,Perennial herb ,Yes (Medium),Yes (Medium),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Coreopsis lanceolata,No,Perennial herb ,Yes (Medium),Yes (Medium),Flowering from October to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Dimorphotheca ecklonis,Yes,Perennial herb ,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Dimorphotheca jucunda,Yes,Perennial herb ,Yes (Poor),Yes (Medium),Flowering from August to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Erigeron karvinskianus,No,Perennial herb ,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Eriocephalus ericoides,Yes,Perennial herb ,Uncertain source,Yes (Abundant),Flowering from July to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Erlangea misera,Yes,Annual or perennial herb ,Yes (Abundant),Yes (Abundant),Flowering from March to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Ethulia conyzoides,Yes,Annual or short-lived perennial herb,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Eupatorium atrorubens,No,Perennial herb,Yes (Medium),Yes (Medium),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Euryops chrysanthemoides,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from January to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Euryops pectinatus,Yes,Perennial herb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Euryops virgineus,Yes,Perennial shurb,Yes (Abundant),Yes (Medium),Flowering from July to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Felicia aethiopica,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Felicia amelloides,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Felicia echinata,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Felicia filifolia,Yes,Perennial shrub,Yes (Medium),Yes (Poor),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Felicia mossamedensis,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Felicia muricata,Yes,Perennial shrub,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gaillardia aristata,No,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gaillardia pulchella,No,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from November to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Garuleum bipinnatum,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from November to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gazania krebsiana,Yes,Perennial herb,Yes (Abundant),Yes (Poor),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gerbera ambigua,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gerbera jamesonii,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Gerbera viridifoli,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helichrysum argyrophyllum,Yes,Perennial herb,Yes (Medium),Yes (Poor),Flowering from December to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helichrysum cymosum,Yes,Perennial herb,Yes (Abundant),Yes (Medium),Flowering from September to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helichrysum kraussii,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from March to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helichrysum nudifolium,Yes,Perennial herb,Yes (Abundant),Yes (Medium),Flowering from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helichrysum rugulosum,Yes,Perennial herb,Yes (Medium),Yes (Poor),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Helichrysum umbraculigerum,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from January to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Hertia pallens,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Heterolepis aliena,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from September to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Hirpicium bechuanense,Yes,Perennial herb ,Yes (Medium),Yes (Medium),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Hirpicium gazanioides,Yes,Perennial herb ,Yes (Medium),Yes (Medium),Flowering from January to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Metalasia muricata,Yes,Perennial herb,Yes (Abundant),Yes (Medium),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Nidorella podocephala,Yes,Perennial herb,Yes (Medium),Yes (Medium),Flowering from November to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Othonna carnosa,Yes,Perennial shrub,Yes (Abundant),Yes (Poor),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Phymaspermum acerosum,Yes,Perennial shrub,Yes (Poor),Yes (Medium),Flowering from February to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Phymaspermum aciculare,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from August to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Phymaspermum parvifolium,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from August to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Psiadia punctulata,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering from November to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteraceae,Senecio barbertonicus,Yes,Perennial shrub,Yes (Medium),Yes (Medium),Flowering from June to September ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
